code,prefname,name,url,stat2015_total,stat2015_dencity,stat2015_ave_age,stat2015_mean_age,stat2015_under15,stat2015_15to64,stat2015_over65,stat2015_per15,stat2015_per15to64,stat2015_per65
21202,岐阜県,岐阜県大垣市,https://www2.city.ogaki.lg.jp/cgi-bin/opendata/db.cgi,159879,774.0,45.7,45.8,21667,95945,41486,13.61865014,60.30559781,26.07575205
21205,岐阜県,岐阜県関市,http://www.city.seki.lg.jp/0000010802.html,89153,188.8,46.5,47.3,12044,52612,24347,13.53212813,59.11261418,27.35525769
21209,岐阜県,岐阜県羽島市,http://www.city.hashima.lg.jp/0000006330.html,67337,"1,254.9",45.2,45.6,9443,40602,16939,14.09739639,60.6144751,25.28812851
22100,静岡県,静岡県静岡市,http://open.city.shizuoka.jp/,704989,499.3,47.5,48.2,85299,415466,200229,12.16829245,59.26812498,28.56358257
22130,静岡県,静岡県浜松市,https://www.city.hamamatsu.shizuoka.jp/koho2/opendata/index.html,797980,512.2,46.2,46.5,107411,473435,208355,13.61009426,59.98915359,26.40075215
22203,静岡県,静岡県沼津市,https://open-data.pref.shizuoka.jp/,195633,"1,046.4",48.4,49.6,22389,115320,57076,11.49421157,59.20373745,29.30205098
22206,静岡県,静岡県三島市,https://www.city.mishima.shizuoka.jp/ipn017227.html,110046,"1,774.4",46.6,47.4,14217,65811,29366,12.99614238,60.15960656,26.84425106
22208,静岡県,静岡県伊東市,http://www.city.ito.shizuoka.jp/html/20170322141404.html,68345,550.7,53,57.6,6829,33849,26762,10.12603796,50.19128114,39.6826809
22209,静岡県,静岡県島田市,https://www.city.shimada.shizuoka.jp/jouhou/opendata.html,98112,310.8,47.9,49.3,12778,56193,28840,13.06397031,57.45059349,29.4854362
22210,静岡県,静岡県富士市,https://open-data.pref.shizuoka.jp/,248399,"1,014.1",46.3,47.1,33258,148073,64166,13.54721239,60.31560467,26.13718294
22211,静岡県,静岡県磐田市,https://www.city.iwata.shizuoka.jp/shisei/opendata.php,167210,"1,023.0",46.1,46.5,22848,99905,43711,13.7254902,60.01597943,26.25853037
22212,静岡県,静岡県焼津市,https://open-data.pref.shizuoka.jp/,139462,"1,983.5",46.8,47.7,18420,81840,38648,13.26057534,58.91669306,27.82273159
22213,静岡県,静岡県掛川市,http://www.city.kakegawa.shizuoka.jp/city/jyohosuishin/seisaku/opendata/opendata_kakegawa.html,114602,431.3,46,46.7,16060,69041,29096,14.06341673,60.45780537,25.4787779
22214,静岡県,静岡県藤枝市,https://open-data.pref.shizuoka.jp/,143605,740.0,46.9,47.8,19303,84051,39753,13.4885086,58.73297602,27.77851538
22215,静岡県,静岡県御殿場市,https://open-data.pref.shizuoka.jp/,88078,451.9,44.1,43.7,12995,54185,20244,14.86433931,61.97954795,23.15611274
22216,静岡県,静岡県袋井市,http://www.city.fukuroi.shizuoka.jp/opendata/index.html,85789,791.9,43.9,43.5,13001,52667,18997,15.35581409,62.20634264,22.43784326
